work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2021,Junior,Full-time,Data Scientist,60000,USD,60000,New York,0.5,New York,Small
2021,Mid-level,Part-time,Data Analyst,55000,USD,55000,San Francisco,0.0,San Francisco,Medium
2021,Senior,Full-time,Machine Learning Engineer,90000,USD,90000,New York,0.75,New York,Large
2022,Junior,Contract,Data Scientist,62000,USD,62000,San Francisco,0.5,San Francisco,Small
2022,Mid-level,Full-time,Data Analyst,57000,USD,57000,Los Angeles,0.25,Los Angeles,Medium
2022,Senior,Part-time,Machine Learning Engineer,92000,USD,92000,San Francisco,0.0,San Francisco,Large
2023,Junior,Full-time,Data Scientist,61000,USD,61000,New York,0.75,New York,Small
2023,Mid-level,Contract,Data Analyst,58000,USD,58000,San Francisco,0.25,San Francisco,Medium
2023,Senior,Full-time,Machine Learning Engineer,93000,USD,93000,Los Angeles,0.5,Los Angeles,Large
2024,Junior,Part-time,Data Scientist,63000,USD,63000,San Francisco,0.5,San Francisco,Small
2024,Mid-level,Full-time,Data Analyst,59000,USD,59000,New York,0.0,New York,Medium
2024,Senior,Contract,Machine Learning Engineer,94000,USD,94000,Los Angeles,0.75,Los Angeles,Large
2021,Junior,Full-time,Data Scientist,60000,USD,60000,San Francisco,0.0,San Francisco,Small
2021,Mid-level,Part-time,Data Analyst,55000,USD,55000,Los Angeles,0.25,Los Angeles,Medium
2021,Senior,Full-time,Machine Learning Engineer,91000,USD,91000,New York,0.5,New York,Large
2022,Junior,Contract,Data Scientist,62000,USD,62000,New York,0.75,New York,Small
2022,Mid-level,Full-time,Data Analyst,57000,USD,57000,San Francisco,0.25,San Francisco,Medium
2022,Senior,Part-time,Machine Learning Engineer,93000,USD,93000,San Francisco,0.0,San Francisco,Large
2023,Junior,Full-time,Data Scientist,61000,USD,61000,Los Angeles,0.5,Los Angeles,Small
2023,Mid-level,Contract,Data Analyst,58000,USD,58000,San Francisco,0.75,San Francisco,Medium
2023,Senior,Full-time,Front End Developer,94000,USD,94000,New York,0.25,New York,Large
2024,Junior,Part-time,Data Scientist,64000,USD,64000,San Francisco,0.0,San Francisco,Small
2024,Mid-level,Full-time,Data Analyst,60000,USD,60000,Los Angeles,0.5,Los Angeles,Medium
